sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
0,339;266;;300rounds;Yes;No;2;0,64726;0,97778;0,00000;0,26647;1,62504;PonPokoAgent@0;boa-negotiator.boaframework.offeringstrategy.anac2011.TheNegotiator_Offering-negotiator.boaframework.acceptanceconditions.other.AC_CombiMaxInWindow_t-negotiator.boaframework.opponentmodel.NashFrequencyModel-negotiator.boaframework.omstrategy.NTFTstrategy@1;0.977775424480171;0.6472599333734302;0.977775424480171;0.6472599333734302;0.977775424480171;0.6472599333734302;0.0;0.0;0.977775424480171;0.6472599333734302;University_util1.xml;University_util2.xml
0,164;208;;300rounds;Yes;No;2;0,80075;0,92740;0,00000;0,10833;1,72815;boa-negotiator.boaframework.offeringstrategy.anac2011.TheNegotiator_Offering-negotiator.boaframework.acceptanceconditions.other.AC_CombiMaxInWindow_t-negotiator.boaframework.opponentmodel.NashFrequencyModel-negotiator.boaframework.omstrategy.NTFTstrategy@2;PonPokoAgent@3;0.9274013389118662;0.8007474181422676;0.9274013389118662;0.8007474181422676;0.9274013389118662;0.8007474181422676;0.0;0.0;0.9274013389118662;0.8007474181422676;University_util1.xml;University_util2.xml
0,180;227;;300rounds;Yes;No;2;0,84036;0,91077;0,00000;0,03215;1,75113;PonPokoAgent@4;boa-negotiator.boaframework.offeringstrategy.anac2011.TheNegotiator_Offering-negotiator.boaframework.acceptanceconditions.other.AC_CombiMaxInWindow_t-negotiator.boaframework.opponentmodel.NashFrequencyModel-negotiator.boaframework.omstrategy.NTFTstrategy@5;0.8403573775115749;0.9107749528415082;0.8403573775115749;0.9107749528415082;0.8403573775115749;0.9107749528415082;0.0;0.0;0.8403573775115749;0.9107749528415082;University_util1.xml;University_util2.xml
0,163;209;;300rounds;Yes;No;2;0,80075;0,92740;0,00000;0,10833;1,72815;boa-negotiator.boaframework.offeringstrategy.anac2011.TheNegotiator_Offering-negotiator.boaframework.acceptanceconditions.other.AC_CombiMaxInWindow_t-negotiator.boaframework.opponentmodel.NashFrequencyModel-negotiator.boaframework.omstrategy.NTFTstrategy@6;PonPokoAgent@7;0.9274013389118662;0.8007474181422676;0.9274013389118662;0.8007474181422676;0.9274013389118662;0.8007474181422676;0.0;0.0;0.9274013389118662;0.8007474181422676;University_util1.xml;University_util2.xml
0,269;266;;300rounds;Yes;No;2;0,64726;0,97778;0,00000;0,26647;1,62504;PonPokoAgent@8;boa-negotiator.boaframework.offeringstrategy.anac2011.TheNegotiator_Offering-negotiator.boaframework.acceptanceconditions.other.AC_CombiMaxInWindow_t-negotiator.boaframework.opponentmodel.NashFrequencyModel-negotiator.boaframework.omstrategy.NTFTstrategy@9;0.977775424480171;0.6472599333734302;0.977775424480171;0.6472599333734302;0.977775424480171;0.6472599333734302;0.0;0.0;0.977775424480171;0.6472599333734302;University_util1.xml;University_util2.xml
0,190;245;;300rounds;Yes;No;2;0,84720;0,88295;0,00000;0,04520;1,73015;boa-negotiator.boaframework.offeringstrategy.anac2011.TheNegotiator_Offering-negotiator.boaframework.acceptanceconditions.other.AC_CombiMaxInWindow_t-negotiator.boaframework.opponentmodel.NashFrequencyModel-negotiator.boaframework.omstrategy.NTFTstrategy@10;PonPokoAgent@11;0.882952187872208;0.8471974429564888;0.882952187872208;0.8471974429564888;0.882952187872208;0.8471974429564888;0.0;0.0;0.882952187872208;0.8471974429564888;University_util1.xml;University_util2.xml
0,176;228;;300rounds;Yes;No;2;0,84036;0,91077;0,00000;0,03215;1,75113;PonPokoAgent@12;boa-negotiator.boaframework.offeringstrategy.anac2011.TheNegotiator_Offering-negotiator.boaframework.acceptanceconditions.other.AC_CombiMaxInWindow_t-negotiator.boaframework.opponentmodel.NashFrequencyModel-negotiator.boaframework.omstrategy.NTFTstrategy@13;0.8403573775115749;0.9107749528415082;0.8403573775115749;0.9107749528415082;0.8403573775115749;0.9107749528415082;0.0;0.0;0.8403573775115749;0.9107749528415082;University_util1.xml;University_util2.xml
0,171;221;;300rounds;Yes;No;2;0,80075;0,92740;0,00000;0,10833;1,72815;boa-negotiator.boaframework.offeringstrategy.anac2011.TheNegotiator_Offering-negotiator.boaframework.acceptanceconditions.other.AC_CombiMaxInWindow_t-negotiator.boaframework.opponentmodel.NashFrequencyModel-negotiator.boaframework.omstrategy.NTFTstrategy@14;PonPokoAgent@15;0.9274013389118662;0.8007474181422676;0.9274013389118662;0.8007474181422676;0.9274013389118662;0.8007474181422676;0.0;0.0;0.9274013389118662;0.8007474181422676;University_util1.xml;University_util2.xml
0,279;252;;300rounds;Yes;No;2;0,64726;0,97778;0,00000;0,26647;1,62504;PonPokoAgent@16;boa-negotiator.boaframework.offeringstrategy.anac2011.TheNegotiator_Offering-negotiator.boaframework.acceptanceconditions.other.AC_CombiMaxInWindow_t-negotiator.boaframework.opponentmodel.NashFrequencyModel-negotiator.boaframework.omstrategy.NTFTstrategy@17;0.977775424480171;0.6472599333734302;0.977775424480171;0.6472599333734302;0.977775424480171;0.6472599333734302;0.0;0.0;0.977775424480171;0.6472599333734302;University_util1.xml;University_util2.xml
0,201;249;;300rounds;Yes;No;2;0,86258;0,88755;0,00000;0,00000;1,75013;boa-negotiator.boaframework.offeringstrategy.anac2011.TheNegotiator_Offering-negotiator.boaframework.acceptanceconditions.other.AC_CombiMaxInWindow_t-negotiator.boaframework.opponentmodel.NashFrequencyModel-negotiator.boaframework.omstrategy.NTFTstrategy@18;PonPokoAgent@19;0.862581953031404;0.8875499404343976;0.862581953031404;0.8875499404343976;0.862581953031404;0.8875499404343976;0.0;0.0;0.862581953031404;0.8875499404343976;University_util1.xml;University_util2.xml
0,170;223;;300rounds;Yes;No;2;0,84036;0,91077;0,00000;0,03215;1,75113;PonPokoAgent@20;boa-negotiator.boaframework.offeringstrategy.anac2011.TheNegotiator_Offering-negotiator.boaframework.acceptanceconditions.other.AC_CombiMaxInWindow_t-negotiator.boaframework.opponentmodel.NashFrequencyModel-negotiator.boaframework.omstrategy.NTFTstrategy@21;0.8403573775115749;0.9107749528415082;0.8403573775115749;0.9107749528415082;0.8403573775115749;0.9107749528415082;0.0;0.0;0.8403573775115749;0.9107749528415082;University_util1.xml;University_util2.xml
0,201;251;;300rounds;Yes;No;2;0,86073;0,87042;0,01723;0,01723;1,73115;boa-negotiator.boaframework.offeringstrategy.anac2011.TheNegotiator_Offering-negotiator.boaframework.acceptanceconditions.other.AC_CombiMaxInWindow_t-negotiator.boaframework.opponentmodel.NashFrequencyModel-negotiator.boaframework.omstrategy.NTFTstrategy@22;PonPokoAgent@23;0.8607276123523788;0.8704224553635995;0.8607276123523788;0.8704224553635995;0.8607276123523788;0.8704224553635995;0.0;0.0;0.8607276123523788;0.8704224553635995;University_util1.xml;University_util2.xml
0,173;222;;300rounds;Yes;No;2;0,84036;0,91077;0,00000;0,03215;1,75113;PonPokoAgent@24;boa-negotiator.boaframework.offeringstrategy.anac2011.TheNegotiator_Offering-negotiator.boaframework.acceptanceconditions.other.AC_CombiMaxInWindow_t-negotiator.boaframework.opponentmodel.NashFrequencyModel-negotiator.boaframework.omstrategy.NTFTstrategy@25;0.8403573775115749;0.9107749528415082;0.8403573775115749;0.9107749528415082;0.8403573775115749;0.9107749528415082;0.0;0.0;0.8403573775115749;0.9107749528415082;University_util1.xml;University_util2.xml
0,182;248;;300rounds;Yes;No;2;0,75226;0,84535;0,10973;0,11812;1,59761;boa-negotiator.boaframework.offeringstrategy.anac2011.TheNegotiator_Offering-negotiator.boaframework.acceptanceconditions.other.AC_CombiMaxInWindow_t-negotiator.boaframework.opponentmodel.NashFrequencyModel-negotiator.boaframework.omstrategy.NTFTstrategy@26;PonPokoAgent@27;0.7522560057239538;0.8453541171371389;0.7522560057239538;0.8453541171371389;0.7522560057239538;0.8453541171371389;0.0;0.0;0.7522560057239538;0.8453541171371389;University_util1.xml;University_util2.xml
