sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
5,078;244;;300rounds;Yes;No;2;0,19619;0,94683;0,00000;0,53241;1,14301;AgreeableAgent2018@0;boa-negotiator.boaframework.offeringstrategy.other.GeniusTimeDependent_Offering_k_min_e_max-negotiator.boaframework.acceptanceconditions.anac2011.AC_IAMHaggler2011-negotiator.boaframework.opponentmodel.AgentXFrequencyModel-negotiator.boaframework.omstrategy.OfferBestN_n_t@1;0.946826377697831;0.19618735469747547;0.946826377697831;0.19618735469747547;0.946826377697831;0.19618735469747547;0.0;0.0;0.946826377697831;0.19618735469747547;profile1.xml;profile2.xml
3,943;245;;300rounds;Yes;No;2;0,19035;0,94175;0,06890;0,55013;1,13210;boa-negotiator.boaframework.offeringstrategy.other.GeniusTimeDependent_Offering_k_min_e_max-negotiator.boaframework.acceptanceconditions.anac2011.AC_IAMHaggler2011-negotiator.boaframework.opponentmodel.AgentXFrequencyModel-negotiator.boaframework.omstrategy.OfferBestN_n_t@2;AgreeableAgent2018@3;0.19035056392997676;0.9417473064364371;0.19035056392997676;0.9417473064364371;0.19035056392997676;0.9417473064364371;0.0;0.0;0.19035056392997676;0.9417473064364371;profile1.xml;profile2.xml
3,907;244;;300rounds;Yes;No;2;0,19619;0,94683;0,00000;0,53241;1,14301;AgreeableAgent2018@4;boa-negotiator.boaframework.offeringstrategy.other.GeniusTimeDependent_Offering_k_min_e_max-negotiator.boaframework.acceptanceconditions.anac2011.AC_IAMHaggler2011-negotiator.boaframework.opponentmodel.AgentXFrequencyModel-negotiator.boaframework.omstrategy.OfferBestN_n_t@5;0.946826377697831;0.19618735469747547;0.946826377697831;0.19618735469747547;0.946826377697831;0.19618735469747547;0.0;0.0;0.946826377697831;0.19618735469747547;profile1.xml;profile2.xml
3,977;244;;300rounds;Yes;No;2;0,19823;0,94050;0,06287;0,54289;1,13873;boa-negotiator.boaframework.offeringstrategy.other.GeniusTimeDependent_Offering_k_min_e_max-negotiator.boaframework.acceptanceconditions.anac2011.AC_IAMHaggler2011-negotiator.boaframework.opponentmodel.AgentXFrequencyModel-negotiator.boaframework.omstrategy.OfferBestN_n_t@6;AgreeableAgent2018@7;0.19822807749155638;0.9405025042174112;0.19822807749155638;0.9405025042174112;0.19822807749155638;0.9405025042174112;0.0;0.0;0.19822807749155638;0.9405025042174112;profile1.xml;profile2.xml
3,863;244;;300rounds;Yes;No;2;0,20125;0,94458;0,00000;0,52697;1,14583;AgreeableAgent2018@8;boa-negotiator.boaframework.offeringstrategy.other.GeniusTimeDependent_Offering_k_min_e_max-negotiator.boaframework.acceptanceconditions.anac2011.AC_IAMHaggler2011-negotiator.boaframework.opponentmodel.AgentXFrequencyModel-negotiator.boaframework.omstrategy.OfferBestN_n_t@9;0.9445845445575818;0.2012504282151556;0.9445845445575818;0.2012504282151556;0.9445845445575818;0.2012504282151556;0.0;0.0;0.9445845445575818;0.2012504282151556;profile1.xml;profile2.xml
3,909;241;;300rounds;Yes;No;2;0,20212;0,94791;0,06676;0,54387;1,15003;boa-negotiator.boaframework.offeringstrategy.other.GeniusTimeDependent_Offering_k_min_e_max-negotiator.boaframework.acceptanceconditions.anac2011.AC_IAMHaggler2011-negotiator.boaframework.opponentmodel.AgentXFrequencyModel-negotiator.boaframework.omstrategy.OfferBestN_n_t@10;AgreeableAgent2018@11;0.20211600328191323;0.947910921466883;0.20211600328191323;0.947910921466883;0.20211600328191323;0.947910921466883;0.0;0.0;0.20211600328191323;0.947910921466883;profile1.xml;profile2.xml
3,795;243;;300rounds;Yes;No;2;0,20125;0,94458;0,00000;0,52697;1,14583;AgreeableAgent2018@12;boa-negotiator.boaframework.offeringstrategy.other.GeniusTimeDependent_Offering_k_min_e_max-negotiator.boaframework.acceptanceconditions.anac2011.AC_IAMHaggler2011-negotiator.boaframework.opponentmodel.AgentXFrequencyModel-negotiator.boaframework.omstrategy.OfferBestN_n_t@13;0.9445845445575818;0.2012504282151556;0.9445845445575818;0.2012504282151556;0.9445845445575818;0.2012504282151556;0.0;0.0;0.9445845445575818;0.2012504282151556;profile1.xml;profile2.xml
3,931;242;;300rounds;Yes;No;2;0,20212;0,94791;0,06676;0,54387;1,15003;boa-negotiator.boaframework.offeringstrategy.other.GeniusTimeDependent_Offering_k_min_e_max-negotiator.boaframework.acceptanceconditions.anac2011.AC_IAMHaggler2011-negotiator.boaframework.opponentmodel.AgentXFrequencyModel-negotiator.boaframework.omstrategy.OfferBestN_n_t@14;AgreeableAgent2018@15;0.20211600328191323;0.947910921466883;0.20211600328191323;0.947910921466883;0.20211600328191323;0.947910921466883;0.0;0.0;0.20211600328191323;0.947910921466883;profile1.xml;profile2.xml
3,810;244;;300rounds;Yes;No;2;0,20125;0,94458;0,00000;0,52697;1,14583;AgreeableAgent2018@16;boa-negotiator.boaframework.offeringstrategy.other.GeniusTimeDependent_Offering_k_min_e_max-negotiator.boaframework.acceptanceconditions.anac2011.AC_IAMHaggler2011-negotiator.boaframework.opponentmodel.AgentXFrequencyModel-negotiator.boaframework.omstrategy.OfferBestN_n_t@17;0.9445845445575818;0.2012504282151556;0.9445845445575818;0.2012504282151556;0.9445845445575818;0.2012504282151556;0.0;0.0;0.9445845445575818;0.2012504282151556;profile1.xml;profile2.xml
3,971;242;;300rounds;Yes;No;2;0,19823;0,94050;0,06287;0,54289;1,13873;boa-negotiator.boaframework.offeringstrategy.other.GeniusTimeDependent_Offering_k_min_e_max-negotiator.boaframework.acceptanceconditions.anac2011.AC_IAMHaggler2011-negotiator.boaframework.opponentmodel.AgentXFrequencyModel-negotiator.boaframework.omstrategy.OfferBestN_n_t@18;AgreeableAgent2018@19;0.19822807749155638;0.9405025042174112;0.19822807749155638;0.9405025042174112;0.19822807749155638;0.9405025042174112;0.0;0.0;0.19822807749155638;0.9405025042174112;profile1.xml;profile2.xml
