sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
0,133;130;;300rounds;Yes;Yes;2;0,56454;0,69260;0,00000;0,00000;1,25713;AgreeableAgent2018@0;boa-negotiator.boaframework.offeringstrategy.anac2011.HardHeaded_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_Yushu-negotiator.boaframework.opponentmodel.DefaultModel-negotiator.boaframework.omstrategy.NullStrategy_t@1;1.0;0.8151053951696905;0.692595575848369;0.5645383905446641;0.692595575848369;0.5645383905446641;0.0;0.0;0.692595575848369;0.5645383905446641;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,120;132;;300rounds;Yes;Yes;2;0,49971;0,68866;0,00000;0,22785;1,18837;boa-negotiator.boaframework.offeringstrategy.anac2011.HardHeaded_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_Yushu-negotiator.boaframework.opponentmodel.DefaultModel-negotiator.boaframework.omstrategy.NullStrategy_t@2;AgreeableAgent2018@3;0.725620106089855;1.0;0.49970746616172246;0.688662651389986;0.49970746616172246;0.688662651389986;0.0;0.0;0.49970746616172246;0.688662651389986;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,109;130;;300rounds;Yes;Yes;2;0,56454;0,69260;0,00000;0,00000;1,25713;AgreeableAgent2018@4;boa-negotiator.boaframework.offeringstrategy.anac2011.HardHeaded_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_Yushu-negotiator.boaframework.opponentmodel.DefaultModel-negotiator.boaframework.omstrategy.NullStrategy_t@5;1.0;0.8151053951696905;0.692595575848369;0.5645383905446641;0.692595575848369;0.5645383905446641;0.0;0.0;0.692595575848369;0.5645383905446641;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,106;132;;300rounds;Yes;Yes;2;0,49971;0,68866;0,00000;0,22785;1,18837;boa-negotiator.boaframework.offeringstrategy.anac2011.HardHeaded_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_Yushu-negotiator.boaframework.opponentmodel.DefaultModel-negotiator.boaframework.omstrategy.NullStrategy_t@6;AgreeableAgent2018@7;0.725620106089855;1.0;0.49970746616172246;0.688662651389986;0.49970746616172246;0.688662651389986;0.0;0.0;0.49970746616172246;0.688662651389986;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,104;130;;300rounds;Yes;Yes;2;0,56454;0,69260;0,00000;0,00000;1,25713;AgreeableAgent2018@8;boa-negotiator.boaframework.offeringstrategy.anac2011.HardHeaded_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_Yushu-negotiator.boaframework.opponentmodel.DefaultModel-negotiator.boaframework.omstrategy.NullStrategy_t@9;1.0;0.8151053951696905;0.692595575848369;0.5645383905446641;0.692595575848369;0.5645383905446641;0.0;0.0;0.692595575848369;0.5645383905446641;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,106;132;;300rounds;Yes;Yes;2;0,49971;0,68866;0,00000;0,22785;1,18837;boa-negotiator.boaframework.offeringstrategy.anac2011.HardHeaded_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_Yushu-negotiator.boaframework.opponentmodel.DefaultModel-negotiator.boaframework.omstrategy.NullStrategy_t@10;AgreeableAgent2018@11;0.725620106089855;1.0;0.49970746616172246;0.688662651389986;0.49970746616172246;0.688662651389986;0.0;0.0;0.49970746616172246;0.688662651389986;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,103;130;;300rounds;Yes;Yes;2;0,56454;0,69260;0,00000;0,00000;1,25713;AgreeableAgent2018@12;boa-negotiator.boaframework.offeringstrategy.anac2011.HardHeaded_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_Yushu-negotiator.boaframework.opponentmodel.DefaultModel-negotiator.boaframework.omstrategy.NullStrategy_t@13;1.0;0.8151053951696905;0.692595575848369;0.5645383905446641;0.692595575848369;0.5645383905446641;0.0;0.0;0.692595575848369;0.5645383905446641;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,104;132;;300rounds;Yes;Yes;2;0,49971;0,68866;0,00000;0,22785;1,18837;boa-negotiator.boaframework.offeringstrategy.anac2011.HardHeaded_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_Yushu-negotiator.boaframework.opponentmodel.DefaultModel-negotiator.boaframework.omstrategy.NullStrategy_t@14;AgreeableAgent2018@15;0.725620106089855;1.0;0.49970746616172246;0.688662651389986;0.49970746616172246;0.688662651389986;0.0;0.0;0.49970746616172246;0.688662651389986;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,100;130;;300rounds;Yes;Yes;2;0,56454;0,69260;0,00000;0,00000;1,25713;AgreeableAgent2018@16;boa-negotiator.boaframework.offeringstrategy.anac2011.HardHeaded_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_Yushu-negotiator.boaframework.opponentmodel.DefaultModel-negotiator.boaframework.omstrategy.NullStrategy_t@17;1.0;0.8151053951696905;0.692595575848369;0.5645383905446641;0.692595575848369;0.5645383905446641;0.0;0.0;0.692595575848369;0.5645383905446641;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,105;132;;300rounds;Yes;Yes;2;0,49971;0,68866;0,00000;0,22785;1,18837;boa-negotiator.boaframework.offeringstrategy.anac2011.HardHeaded_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_Yushu-negotiator.boaframework.opponentmodel.DefaultModel-negotiator.boaframework.omstrategy.NullStrategy_t@18;AgreeableAgent2018@19;0.725620106089855;1.0;0.49970746616172246;0.688662651389986;0.49970746616172246;0.688662651389986;0.0;0.0;0.49970746616172246;0.688662651389986;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,104;130;;300rounds;Yes;Yes;2;0,56454;0,69260;0,00000;0,00000;1,25713;AgreeableAgent2018@20;boa-negotiator.boaframework.offeringstrategy.anac2011.HardHeaded_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_Yushu-negotiator.boaframework.opponentmodel.DefaultModel-negotiator.boaframework.omstrategy.NullStrategy_t@21;1.0;0.8151053951696905;0.692595575848369;0.5645383905446641;0.692595575848369;0.5645383905446641;0.0;0.0;0.692595575848369;0.5645383905446641;laptop_buyer_utility.xml;laptop_seller_utility.xml
0,108;132;;300rounds;Yes;Yes;2;0,49971;0,68866;0,00000;0,22785;1,18837;boa-negotiator.boaframework.offeringstrategy.anac2011.HardHeaded_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_Yushu-negotiator.boaframework.opponentmodel.DefaultModel-negotiator.boaframework.omstrategy.NullStrategy_t@22;AgreeableAgent2018@23;0.725620106089855;1.0;0.49970746616172246;0.688662651389986;0.49970746616172246;0.688662651389986;0.0;0.0;0.49970746616172246;0.688662651389986;laptop_buyer_utility.xml;laptop_seller_utility.xml
