sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
2,720;301;;300rounds;No;No;1;0,00000;0,00000;0,89335;0,90908;0,00000;PonPokoAgent@0;boa-negotiator.boaframework.offeringstrategy.other.Random_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_AgentK2-genius.core.boaframework.NoModel-negotiator.boaframework.omstrategy.NTFTstrategy@1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;profile1.xml;profile2.xml
0,290;199;;300rounds;Yes;No;2;0,16981;0,89910;0,06752;0,54563;1,06892;boa-negotiator.boaframework.offeringstrategy.other.Random_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_AgentK2-genius.core.boaframework.NoModel-negotiator.boaframework.omstrategy.NTFTstrategy@2;PonPokoAgent@3;0.16981422576120242;0.899102818781464;0.16981422576120242;0.899102818781464;0.16981422576120242;0.899102818781464;0.0;0.0;0.16981422576120242;0.899102818781464;profile1.xml;profile2.xml
0,121;35;;300rounds;Yes;No;2;0,11300;0,91626;0,05066;0,58859;1,02926;PonPokoAgent@4;boa-negotiator.boaframework.offeringstrategy.other.Random_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_AgentK2-genius.core.boaframework.NoModel-negotiator.boaframework.omstrategy.NTFTstrategy@5;0.9162586635139991;0.11300183902166797;0.9162586635139991;0.11300183902166797;0.9162586635139991;0.11300183902166797;0.0;0.0;0.9162586635139991;0.11300183902166797;profile1.xml;profile2.xml
0,219;176;;300rounds;Yes;No;2;0,19152;0,86228;0,05358;0,50938;1,05380;boa-negotiator.boaframework.offeringstrategy.other.Random_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_AgentK2-genius.core.boaframework.NoModel-negotiator.boaframework.omstrategy.NTFTstrategy@6;PonPokoAgent@7;0.19152296476112873;0.8622798445721354;0.19152296476112873;0.8622798445721354;0.19152296476112873;0.8622798445721354;0.0;0.0;0.19152296476112873;0.8622798445721354;profile1.xml;profile2.xml
0,996;180;;300rounds;Yes;No;2;0,31410;0,86964;0,01488;0,39151;1,18374;PonPokoAgent@8;boa-negotiator.boaframework.offeringstrategy.other.Random_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_AgentK2-genius.core.boaframework.NoModel-negotiator.boaframework.omstrategy.NTFTstrategy@9;0.8696449292081343;0.3140976883179765;0.8696449292081343;0.3140976883179765;0.8696449292081343;0.3140976883179765;0.0;0.0;0.8696449292081343;0.3140976883179765;profile1.xml;profile2.xml
1,023;301;;300rounds;No;No;1;0,00000;0,00000;0,89335;0,90908;0,00000;boa-negotiator.boaframework.offeringstrategy.other.Random_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_AgentK2-genius.core.boaframework.NoModel-negotiator.boaframework.omstrategy.NTFTstrategy@10;PonPokoAgent@11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;profile1.xml;profile2.xml
3,360;301;;300rounds;No;No;1;0,00000;0,00000;0,89335;0,90908;0,00000;PonPokoAgent@12;boa-negotiator.boaframework.offeringstrategy.other.Random_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_AgentK2-genius.core.boaframework.NoModel-negotiator.boaframework.omstrategy.NTFTstrategy@13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;profile1.xml;profile2.xml
0,241;204;;300rounds;Yes;No;2;0,23689;0,88580;0,00509;0,48085;1,12269;boa-negotiator.boaframework.offeringstrategy.other.Random_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_AgentK2-genius.core.boaframework.NoModel-negotiator.boaframework.omstrategy.NTFTstrategy@14;PonPokoAgent@15;0.23688806996437253;0.8857969689164307;0.23688806996437253;0.8857969689164307;0.23688806996437253;0.8857969689164307;0.0;0.0;0.23688806996437253;0.8857969689164307;profile1.xml;profile2.xml
1,889;301;;300rounds;No;No;1;0,00000;0,00000;0,89335;0,90908;0,00000;PonPokoAgent@16;boa-negotiator.boaframework.offeringstrategy.other.Random_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_AgentK2-genius.core.boaframework.NoModel-negotiator.boaframework.omstrategy.NTFTstrategy@17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;profile1.xml;profile2.xml
0,281;108;;300rounds;Yes;No;2;0,19731;0,87414;0,04292;0,50960;1,07145;boa-negotiator.boaframework.offeringstrategy.other.Random_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_AgentK2-genius.core.boaframework.NoModel-negotiator.boaframework.omstrategy.NTFTstrategy@18;PonPokoAgent@19;0.19730962133955937;0.8741385295279802;0.19730962133955937;0.8741385295279802;0.19730962133955937;0.8741385295279802;0.0;0.0;0.19730962133955937;0.8741385295279802;profile1.xml;profile2.xml
0,209;64;;300rounds;Yes;No;2;0,08220;0,92273;0,05564;0,61902;1,00493;PonPokoAgent@20;boa-negotiator.boaframework.offeringstrategy.other.Random_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_AgentK2-genius.core.boaframework.NoModel-negotiator.boaframework.omstrategy.NTFTstrategy@21;0.9227296275622827;0.08219904289797537;0.9227296275622827;0.08219904289797537;0.9227296275622827;0.08219904289797537;0.0;0.0;0.9227296275622827;0.08219904289797537;profile1.xml;profile2.xml
0,203;135;;300rounds;Yes;No;2;0,25949;0,88616;0,01054;0,46185;1,14565;boa-negotiator.boaframework.offeringstrategy.other.Random_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_AgentK2-genius.core.boaframework.NoModel-negotiator.boaframework.omstrategy.NTFTstrategy@22;PonPokoAgent@23;0.25948888743365084;0.886160503805324;0.25948888743365084;0.886160503805324;0.25948888743365084;0.886160503805324;0.0;0.0;0.25948888743365084;0.886160503805324;profile1.xml;profile2.xml
1,285;301;;300rounds;No;No;1;0,00000;0,00000;0,89335;0,90908;0,00000;PonPokoAgent@24;boa-negotiator.boaframework.offeringstrategy.other.Random_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_AgentK2-genius.core.boaframework.NoModel-negotiator.boaframework.omstrategy.NTFTstrategy@25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;profile1.xml;profile2.xml
0,156;124;;300rounds;Yes;No;2;0,24519;0,84527;0,03161;0,45380;1,09047;boa-negotiator.boaframework.offeringstrategy.other.Random_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_AgentK2-genius.core.boaframework.NoModel-negotiator.boaframework.omstrategy.NTFTstrategy@26;PonPokoAgent@27;0.24519480504389532;0.8452707646819633;0.24519480504389532;0.8452707646819633;0.24519480504389532;0.8452707646819633;0.0;0.0;0.24519480504389532;0.8452707646819633;profile1.xml;profile2.xml
1,226;285;;300rounds;Yes;No;2;0,31420;0,83013;0,04768;0,37054;1,14433;PonPokoAgent@28;boa-negotiator.boaframework.offeringstrategy.other.Random_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_AgentK2-genius.core.boaframework.NoModel-negotiator.boaframework.omstrategy.NTFTstrategy@29;0.8301330609734925;0.3141965510125533;0.8301330609734925;0.3141965510125533;0.8301330609734925;0.3141965510125533;0.0;0.0;0.8301330609734925;0.3141965510125533;profile1.xml;profile2.xml
1,375;301;;300rounds;No;No;1;0,00000;0,00000;0,89335;0,90908;0,00000;boa-negotiator.boaframework.offeringstrategy.other.Random_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_AgentK2-genius.core.boaframework.NoModel-negotiator.boaframework.omstrategy.NTFTstrategy@30;PonPokoAgent@31;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;profile1.xml;profile2.xml
3,491;301;;300rounds;Yes;No;2;0,34191;0,71212;0,13057;0,30201;1,05403;PonPokoAgent@32;boa-negotiator.boaframework.offeringstrategy.other.Random_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_AgentK2-genius.core.boaframework.NoModel-negotiator.boaframework.omstrategy.NTFTstrategy@33;0.7121243617465087;0.34190819494016167;0.7121243617465087;0.34190819494016167;0.7121243617465087;0.34190819494016167;0.0;0.0;0.7121243617465087;0.34190819494016167;profile1.xml;profile2.xml
