sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
2,826;164;;300rounds;Yes;No;2;0,78500;0,92857;0,00000;0,00000;1,71357;BayesianAgent@0;boa-negotiator.boaframework.offeringstrategy.anac2010.Yushu_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_NiceTitForTat-negotiator.boaframework.opponentmodel.AgentXFrequencyModel-negotiator.boaframework.omstrategy.TheFawkes_OMS@1;0.7849999999999999;0.9285654723948509;0.7849999999999999;0.9285654723948509;0.0;0.9285654723948509;0.0;0.0;0.7849999999999999;0.9285654723948509;party1_utility.xml;party2_utility.xml
5,890;272;;300rounds;Yes;No;2;0,73828;0,87833;0,00000;0,21194;1,61662;boa-negotiator.boaframework.offeringstrategy.anac2010.Yushu_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_NiceTitForTat-negotiator.boaframework.opponentmodel.AgentXFrequencyModel-negotiator.boaframework.omstrategy.TheFawkes_OMS@2;BayesianAgent@3;0.8783333333333334;0.7382820437475793;0.8783333333333334;0.7382820437475793;0.8783333333333334;0.0;0.0;0.0;0.8783333333333334;0.7382820437475793;party1_utility.xml;party2_utility.xml
2,658;164;;300rounds;Yes;No;2;0,78500;0,92857;0,00000;0,00000;1,71357;BayesianAgent@4;boa-negotiator.boaframework.offeringstrategy.anac2010.Yushu_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_NiceTitForTat-negotiator.boaframework.opponentmodel.AgentXFrequencyModel-negotiator.boaframework.omstrategy.TheFawkes_OMS@5;0.7849999999999999;0.9285654723948509;0.7849999999999999;0.9285654723948509;0.0;0.9285654723948509;0.0;0.0;0.7849999999999999;0.9285654723948509;party1_utility.xml;party2_utility.xml
5,921;272;;300rounds;Yes;No;2;0,73828;0,87833;0,00000;0,21194;1,61662;boa-negotiator.boaframework.offeringstrategy.anac2010.Yushu_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_NiceTitForTat-negotiator.boaframework.opponentmodel.AgentXFrequencyModel-negotiator.boaframework.omstrategy.TheFawkes_OMS@6;BayesianAgent@7;0.8783333333333334;0.7382820437475793;0.8783333333333334;0.7382820437475793;0.8783333333333334;0.0;0.0;0.0;0.8783333333333334;0.7382820437475793;party1_utility.xml;party2_utility.xml
2,674;164;;300rounds;Yes;No;2;0,78500;0,92857;0,00000;0,00000;1,71357;BayesianAgent@8;boa-negotiator.boaframework.offeringstrategy.anac2010.Yushu_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_NiceTitForTat-negotiator.boaframework.opponentmodel.AgentXFrequencyModel-negotiator.boaframework.omstrategy.TheFawkes_OMS@9;0.7849999999999999;0.9285654723948509;0.7849999999999999;0.9285654723948509;0.0;0.9285654723948509;0.0;0.0;0.7849999999999999;0.9285654723948509;party1_utility.xml;party2_utility.xml
5,896;272;;300rounds;Yes;No;2;0,73828;0,87833;0,00000;0,21194;1,61662;boa-negotiator.boaframework.offeringstrategy.anac2010.Yushu_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_NiceTitForTat-negotiator.boaframework.opponentmodel.AgentXFrequencyModel-negotiator.boaframework.omstrategy.TheFawkes_OMS@10;BayesianAgent@11;0.8783333333333334;0.7382820437475793;0.8783333333333334;0.7382820437475793;0.8783333333333334;0.0;0.0;0.0;0.8783333333333334;0.7382820437475793;party1_utility.xml;party2_utility.xml
2,668;164;;300rounds;Yes;No;2;0,78500;0,92857;0,00000;0,00000;1,71357;BayesianAgent@12;boa-negotiator.boaframework.offeringstrategy.anac2010.Yushu_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_NiceTitForTat-negotiator.boaframework.opponentmodel.AgentXFrequencyModel-negotiator.boaframework.omstrategy.TheFawkes_OMS@13;0.7849999999999999;0.9285654723948509;0.7849999999999999;0.9285654723948509;0.0;0.9285654723948509;0.0;0.0;0.7849999999999999;0.9285654723948509;party1_utility.xml;party2_utility.xml
5,810;272;;300rounds;Yes;No;2;0,73828;0,87833;0,00000;0,21194;1,61662;boa-negotiator.boaframework.offeringstrategy.anac2010.Yushu_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_NiceTitForTat-negotiator.boaframework.opponentmodel.AgentXFrequencyModel-negotiator.boaframework.omstrategy.TheFawkes_OMS@14;BayesianAgent@15;0.8783333333333334;0.7382820437475793;0.8783333333333334;0.7382820437475793;0.8783333333333334;0.0;0.0;0.0;0.8783333333333334;0.7382820437475793;party1_utility.xml;party2_utility.xml
2,659;164;;300rounds;Yes;No;2;0,78500;0,92857;0,00000;0,00000;1,71357;BayesianAgent@16;boa-negotiator.boaframework.offeringstrategy.anac2010.Yushu_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_NiceTitForTat-negotiator.boaframework.opponentmodel.AgentXFrequencyModel-negotiator.boaframework.omstrategy.TheFawkes_OMS@17;0.7849999999999999;0.9285654723948509;0.7849999999999999;0.9285654723948509;0.0;0.9285654723948509;0.0;0.0;0.7849999999999999;0.9285654723948509;party1_utility.xml;party2_utility.xml
5,895;272;;300rounds;Yes;No;2;0,73828;0,87833;0,00000;0,21194;1,61662;boa-negotiator.boaframework.offeringstrategy.anac2010.Yushu_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_NiceTitForTat-negotiator.boaframework.opponentmodel.AgentXFrequencyModel-negotiator.boaframework.omstrategy.TheFawkes_OMS@18;BayesianAgent@19;0.8783333333333334;0.7382820437475793;0.8783333333333334;0.7382820437475793;0.8783333333333334;0.0;0.0;0.0;0.8783333333333334;0.7382820437475793;party1_utility.xml;party2_utility.xml
2,633;164;;300rounds;Yes;No;2;0,78500;0,92857;0,00000;0,00000;1,71357;BayesianAgent@20;boa-negotiator.boaframework.offeringstrategy.anac2010.Yushu_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_NiceTitForTat-negotiator.boaframework.opponentmodel.AgentXFrequencyModel-negotiator.boaframework.omstrategy.TheFawkes_OMS@21;0.7849999999999999;0.9285654723948509;0.7849999999999999;0.9285654723948509;0.0;0.9285654723948509;0.0;0.0;0.7849999999999999;0.9285654723948509;party1_utility.xml;party2_utility.xml
5,852;272;;300rounds;Yes;No;2;0,73828;0,87833;0,00000;0,21194;1,61662;boa-negotiator.boaframework.offeringstrategy.anac2010.Yushu_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_NiceTitForTat-negotiator.boaframework.opponentmodel.AgentXFrequencyModel-negotiator.boaframework.omstrategy.TheFawkes_OMS@22;BayesianAgent@23;0.8783333333333334;0.7382820437475793;0.8783333333333334;0.7382820437475793;0.8783333333333334;0.0;0.0;0.0;0.8783333333333334;0.7382820437475793;party1_utility.xml;party2_utility.xml
2,643;164;;300rounds;Yes;No;2;0,78500;0,92857;0,00000;0,00000;1,71357;BayesianAgent@24;boa-negotiator.boaframework.offeringstrategy.anac2010.Yushu_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_NiceTitForTat-negotiator.boaframework.opponentmodel.AgentXFrequencyModel-negotiator.boaframework.omstrategy.TheFawkes_OMS@25;0.7849999999999999;0.9285654723948509;0.7849999999999999;0.9285654723948509;0.0;0.9285654723948509;0.0;0.0;0.7849999999999999;0.9285654723948509;party1_utility.xml;party2_utility.xml
