sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
1,619;228;;300rounds;Yes;No;2;0,80000;0,85478;0,05810;0,10695;1,65478;TimeDependentAgentBoulware@0;boa-negotiator.boaframework.offeringstrategy.anac2010.Yushu_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_NiceTitForTat-negotiator.boaframework.opponentmodel.AgentXFrequencyModel-negotiator.boaframework.omstrategy.TheFawkes_OMS@1;0.8000000000000002;0.8547812279688783;0.8000000000000002;0.8547812279688783;0.0;0.8547812279688783;0.0;0.0;0.8000000000000002;0.8547812279688783;WindFarm_util1.xml;WindFarm_util2.xml
1,955;213;;300rounds;Yes;No;2;0,80000;0,91288;0,00000;0,05482;1,71288;boa-negotiator.boaframework.offeringstrategy.anac2010.Yushu_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_NiceTitForTat-negotiator.boaframework.opponentmodel.AgentXFrequencyModel-negotiator.boaframework.omstrategy.TheFawkes_OMS@2;TimeDependentAgentBoulware@3;0.8000000000000002;0.9128781235485285;0.8000000000000002;0.9128781235485285;0.8000000000000002;0.0;0.0;0.0;0.8000000000000002;0.9128781235485285;WindFarm_util1.xml;WindFarm_util2.xml
1,531;228;;300rounds;Yes;No;2;0,80000;0,85478;0,05810;0,10695;1,65478;TimeDependentAgentBoulware@4;boa-negotiator.boaframework.offeringstrategy.anac2010.Yushu_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_NiceTitForTat-negotiator.boaframework.opponentmodel.AgentXFrequencyModel-negotiator.boaframework.omstrategy.TheFawkes_OMS@5;0.8000000000000002;0.8547812279688783;0.8000000000000002;0.8547812279688783;0.0;0.8547812279688783;0.0;0.0;0.8000000000000002;0.8547812279688783;WindFarm_util1.xml;WindFarm_util2.xml
1,942;213;;300rounds;Yes;No;2;0,80000;0,91288;0,00000;0,05482;1,71288;boa-negotiator.boaframework.offeringstrategy.anac2010.Yushu_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_NiceTitForTat-negotiator.boaframework.opponentmodel.AgentXFrequencyModel-negotiator.boaframework.omstrategy.TheFawkes_OMS@6;TimeDependentAgentBoulware@7;0.8000000000000002;0.9128781235485285;0.8000000000000002;0.9128781235485285;0.8000000000000002;0.0;0.0;0.0;0.8000000000000002;0.9128781235485285;WindFarm_util1.xml;WindFarm_util2.xml
1,522;228;;300rounds;Yes;No;2;0,80000;0,85478;0,05810;0,10695;1,65478;TimeDependentAgentBoulware@8;boa-negotiator.boaframework.offeringstrategy.anac2010.Yushu_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_NiceTitForTat-negotiator.boaframework.opponentmodel.AgentXFrequencyModel-negotiator.boaframework.omstrategy.TheFawkes_OMS@9;0.8000000000000002;0.8547812279688783;0.8000000000000002;0.8547812279688783;0.0;0.8547812279688783;0.0;0.0;0.8000000000000002;0.8547812279688783;WindFarm_util1.xml;WindFarm_util2.xml
1,941;213;;300rounds;Yes;No;2;0,80000;0,91288;0,00000;0,05482;1,71288;boa-negotiator.boaframework.offeringstrategy.anac2010.Yushu_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_NiceTitForTat-negotiator.boaframework.opponentmodel.AgentXFrequencyModel-negotiator.boaframework.omstrategy.TheFawkes_OMS@10;TimeDependentAgentBoulware@11;0.8000000000000002;0.9128781235485285;0.8000000000000002;0.9128781235485285;0.8000000000000002;0.0;0.0;0.0;0.8000000000000002;0.9128781235485285;WindFarm_util1.xml;WindFarm_util2.xml
1,512;228;;300rounds;Yes;No;2;0,80000;0,85478;0,05810;0,10695;1,65478;TimeDependentAgentBoulware@12;boa-negotiator.boaframework.offeringstrategy.anac2010.Yushu_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_NiceTitForTat-negotiator.boaframework.opponentmodel.AgentXFrequencyModel-negotiator.boaframework.omstrategy.TheFawkes_OMS@13;0.8000000000000002;0.8547812279688783;0.8000000000000002;0.8547812279688783;0.0;0.8547812279688783;0.0;0.0;0.8000000000000002;0.8547812279688783;WindFarm_util1.xml;WindFarm_util2.xml
1,967;213;;300rounds;Yes;No;2;0,80000;0,91288;0,00000;0,05482;1,71288;boa-negotiator.boaframework.offeringstrategy.anac2010.Yushu_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_NiceTitForTat-negotiator.boaframework.opponentmodel.AgentXFrequencyModel-negotiator.boaframework.omstrategy.TheFawkes_OMS@14;TimeDependentAgentBoulware@15;0.8000000000000002;0.9128781235485285;0.8000000000000002;0.9128781235485285;0.8000000000000002;0.0;0.0;0.0;0.8000000000000002;0.9128781235485285;WindFarm_util1.xml;WindFarm_util2.xml
1,511;228;;300rounds;Yes;No;2;0,80000;0,85478;0,05810;0,10695;1,65478;TimeDependentAgentBoulware@16;boa-negotiator.boaframework.offeringstrategy.anac2010.Yushu_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_NiceTitForTat-negotiator.boaframework.opponentmodel.AgentXFrequencyModel-negotiator.boaframework.omstrategy.TheFawkes_OMS@17;0.8000000000000002;0.8547812279688783;0.8000000000000002;0.8547812279688783;0.0;0.8547812279688783;0.0;0.0;0.8000000000000002;0.8547812279688783;WindFarm_util1.xml;WindFarm_util2.xml
1,939;213;;300rounds;Yes;No;2;0,80000;0,91288;0,00000;0,05482;1,71288;boa-negotiator.boaframework.offeringstrategy.anac2010.Yushu_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_NiceTitForTat-negotiator.boaframework.opponentmodel.AgentXFrequencyModel-negotiator.boaframework.omstrategy.TheFawkes_OMS@18;TimeDependentAgentBoulware@19;0.8000000000000002;0.9128781235485285;0.8000000000000002;0.9128781235485285;0.8000000000000002;0.0;0.0;0.0;0.8000000000000002;0.9128781235485285;WindFarm_util1.xml;WindFarm_util2.xml
