sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
0,475;65;;300rounds;Yes;No;2;0,63333;1,00000;0,00000;0,14028;1,63333;TimeDependentAgentConceder@0;boa-negotiator.boaframework.offeringstrategy.anac2010.Yushu_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_NiceTitForTat-negotiator.boaframework.opponentmodel.AgentXFrequencyModel-negotiator.boaframework.omstrategy.TheFawkes_OMS@1;0.6333333333333334;1.0;0.6333333333333334;1.0;0.0;1.0;0.0;0.0;0.6333333333333334;1.0;WindFarm_util1.xml;WindFarm_util2.xml
0,519;64;;300rounds;Yes;No;2;0,62190;1,00000;0,00000;0,40784;1,62190;boa-negotiator.boaframework.offeringstrategy.anac2010.Yushu_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_NiceTitForTat-negotiator.boaframework.opponentmodel.AgentXFrequencyModel-negotiator.boaframework.omstrategy.TheFawkes_OMS@2;TimeDependentAgentConceder@3;1.0;0.6218965955784647;1.0;0.6218965955784647;1.0;0.0;0.0;0.0;1.0;0.6218965955784647;WindFarm_util1.xml;WindFarm_util2.xml
0,439;65;;300rounds;Yes;No;2;0,63333;1,00000;0,00000;0,14028;1,63333;TimeDependentAgentConceder@4;boa-negotiator.boaframework.offeringstrategy.anac2010.Yushu_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_NiceTitForTat-negotiator.boaframework.opponentmodel.AgentXFrequencyModel-negotiator.boaframework.omstrategy.TheFawkes_OMS@5;0.6333333333333334;1.0;0.6333333333333334;1.0;0.0;1.0;0.0;0.0;0.6333333333333334;1.0;WindFarm_util1.xml;WindFarm_util2.xml
0,505;64;;300rounds;Yes;No;2;0,62190;1,00000;0,00000;0,40784;1,62190;boa-negotiator.boaframework.offeringstrategy.anac2010.Yushu_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_NiceTitForTat-negotiator.boaframework.opponentmodel.AgentXFrequencyModel-negotiator.boaframework.omstrategy.TheFawkes_OMS@6;TimeDependentAgentConceder@7;1.0;0.6218965955784647;1.0;0.6218965955784647;1.0;0.0;0.0;0.0;1.0;0.6218965955784647;WindFarm_util1.xml;WindFarm_util2.xml
0,439;65;;300rounds;Yes;No;2;0,63333;1,00000;0,00000;0,14028;1,63333;TimeDependentAgentConceder@8;boa-negotiator.boaframework.offeringstrategy.anac2010.Yushu_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_NiceTitForTat-negotiator.boaframework.opponentmodel.AgentXFrequencyModel-negotiator.boaframework.omstrategy.TheFawkes_OMS@9;0.6333333333333334;1.0;0.6333333333333334;1.0;0.0;1.0;0.0;0.0;0.6333333333333334;1.0;WindFarm_util1.xml;WindFarm_util2.xml
0,499;64;;300rounds;Yes;No;2;0,62190;1,00000;0,00000;0,40784;1,62190;boa-negotiator.boaframework.offeringstrategy.anac2010.Yushu_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_NiceTitForTat-negotiator.boaframework.opponentmodel.AgentXFrequencyModel-negotiator.boaframework.omstrategy.TheFawkes_OMS@10;TimeDependentAgentConceder@11;1.0;0.6218965955784647;1.0;0.6218965955784647;1.0;0.0;0.0;0.0;1.0;0.6218965955784647;WindFarm_util1.xml;WindFarm_util2.xml
0,418;65;;300rounds;Yes;No;2;0,63333;1,00000;0,00000;0,14028;1,63333;TimeDependentAgentConceder@12;boa-negotiator.boaframework.offeringstrategy.anac2010.Yushu_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_NiceTitForTat-negotiator.boaframework.opponentmodel.AgentXFrequencyModel-negotiator.boaframework.omstrategy.TheFawkes_OMS@13;0.6333333333333334;1.0;0.6333333333333334;1.0;0.0;1.0;0.0;0.0;0.6333333333333334;1.0;WindFarm_util1.xml;WindFarm_util2.xml
0,455;64;;300rounds;Yes;No;2;0,62190;1,00000;0,00000;0,40784;1,62190;boa-negotiator.boaframework.offeringstrategy.anac2010.Yushu_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_NiceTitForTat-negotiator.boaframework.opponentmodel.AgentXFrequencyModel-negotiator.boaframework.omstrategy.TheFawkes_OMS@14;TimeDependentAgentConceder@15;1.0;0.6218965955784647;1.0;0.6218965955784647;1.0;0.0;0.0;0.0;1.0;0.6218965955784647;WindFarm_util1.xml;WindFarm_util2.xml
0,387;65;;300rounds;Yes;No;2;0,63333;1,00000;0,00000;0,14028;1,63333;TimeDependentAgentConceder@16;boa-negotiator.boaframework.offeringstrategy.anac2010.Yushu_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_NiceTitForTat-negotiator.boaframework.opponentmodel.AgentXFrequencyModel-negotiator.boaframework.omstrategy.TheFawkes_OMS@17;0.6333333333333334;1.0;0.6333333333333334;1.0;0.0;1.0;0.0;0.0;0.6333333333333334;1.0;WindFarm_util1.xml;WindFarm_util2.xml
0,453;64;;300rounds;Yes;No;2;0,62190;1,00000;0,00000;0,40784;1,62190;boa-negotiator.boaframework.offeringstrategy.anac2010.Yushu_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_NiceTitForTat-negotiator.boaframework.opponentmodel.AgentXFrequencyModel-negotiator.boaframework.omstrategy.TheFawkes_OMS@18;TimeDependentAgentConceder@19;1.0;0.6218965955784647;1.0;0.6218965955784647;1.0;0.0;0.0;0.0;1.0;0.6218965955784647;WindFarm_util1.xml;WindFarm_util2.xml
