sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
0,009;6;;300rounds;Yes;No;2;0,93258;1,00000;0,00000;0,07501;1,93258;TimeDependentAgentConceder@0;boa-negotiator.boaframework.offeringstrategy.anac2010.Yushu_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_NiceTitForTat-negotiator.boaframework.opponentmodel.AgentXFrequencyModel-negotiator.boaframework.omstrategy.TheFawkes_OMS@1;0.932576141327927;1.0;0.932576141327927;1.0;0.0;1.0;0.0;0.0;0.932576141327927;1.0;movie-profile1.xml;movie-profile2.xml
0,011;9;;300rounds;Yes;No;2;0,96713;1,00000;0,00000;0,00000;1,96713;boa-negotiator.boaframework.offeringstrategy.anac2010.Yushu_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_NiceTitForTat-negotiator.boaframework.opponentmodel.AgentXFrequencyModel-negotiator.boaframework.omstrategy.TheFawkes_OMS@2;TimeDependentAgentConceder@3;1.0;0.9671281107910649;1.0;0.9671281107910649;1.0;0.0;0.0;0.0;1.0;0.9671281107910649;movie-profile1.xml;movie-profile2.xml
0,006;6;;300rounds;Yes;No;2;0,93258;1,00000;0,00000;0,07501;1,93258;TimeDependentAgentConceder@4;boa-negotiator.boaframework.offeringstrategy.anac2010.Yushu_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_NiceTitForTat-negotiator.boaframework.opponentmodel.AgentXFrequencyModel-negotiator.boaframework.omstrategy.TheFawkes_OMS@5;0.932576141327927;1.0;0.932576141327927;1.0;0.0;1.0;0.0;0.0;0.932576141327927;1.0;movie-profile1.xml;movie-profile2.xml
0,009;9;;300rounds;Yes;No;2;0,96713;1,00000;0,00000;0,00000;1,96713;boa-negotiator.boaframework.offeringstrategy.anac2010.Yushu_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_NiceTitForTat-negotiator.boaframework.opponentmodel.AgentXFrequencyModel-negotiator.boaframework.omstrategy.TheFawkes_OMS@6;TimeDependentAgentConceder@7;1.0;0.9671281107910649;1.0;0.9671281107910649;1.0;0.0;0.0;0.0;1.0;0.9671281107910649;movie-profile1.xml;movie-profile2.xml
0,006;6;;300rounds;Yes;No;2;0,93258;1,00000;0,00000;0,07501;1,93258;TimeDependentAgentConceder@8;boa-negotiator.boaframework.offeringstrategy.anac2010.Yushu_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_NiceTitForTat-negotiator.boaframework.opponentmodel.AgentXFrequencyModel-negotiator.boaframework.omstrategy.TheFawkes_OMS@9;0.932576141327927;1.0;0.932576141327927;1.0;0.0;1.0;0.0;0.0;0.932576141327927;1.0;movie-profile1.xml;movie-profile2.xml
0,010;9;;300rounds;Yes;No;2;0,96713;1,00000;0,00000;0,00000;1,96713;boa-negotiator.boaframework.offeringstrategy.anac2010.Yushu_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_NiceTitForTat-negotiator.boaframework.opponentmodel.AgentXFrequencyModel-negotiator.boaframework.omstrategy.TheFawkes_OMS@10;TimeDependentAgentConceder@11;1.0;0.9671281107910649;1.0;0.9671281107910649;1.0;0.0;0.0;0.0;1.0;0.9671281107910649;movie-profile1.xml;movie-profile2.xml
0,006;6;;300rounds;Yes;No;2;0,93258;1,00000;0,00000;0,07501;1,93258;TimeDependentAgentConceder@12;boa-negotiator.boaframework.offeringstrategy.anac2010.Yushu_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_NiceTitForTat-negotiator.boaframework.opponentmodel.AgentXFrequencyModel-negotiator.boaframework.omstrategy.TheFawkes_OMS@13;0.932576141327927;1.0;0.932576141327927;1.0;0.0;1.0;0.0;0.0;0.932576141327927;1.0;movie-profile1.xml;movie-profile2.xml
0,011;9;;300rounds;Yes;No;2;0,96713;1,00000;0,00000;0,00000;1,96713;boa-negotiator.boaframework.offeringstrategy.anac2010.Yushu_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_NiceTitForTat-negotiator.boaframework.opponentmodel.AgentXFrequencyModel-negotiator.boaframework.omstrategy.TheFawkes_OMS@14;TimeDependentAgentConceder@15;1.0;0.9671281107910649;1.0;0.9671281107910649;1.0;0.0;0.0;0.0;1.0;0.9671281107910649;movie-profile1.xml;movie-profile2.xml
0,006;6;;300rounds;Yes;No;2;0,93258;1,00000;0,00000;0,07501;1,93258;TimeDependentAgentConceder@16;boa-negotiator.boaframework.offeringstrategy.anac2010.Yushu_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_NiceTitForTat-negotiator.boaframework.opponentmodel.AgentXFrequencyModel-negotiator.boaframework.omstrategy.TheFawkes_OMS@17;0.932576141327927;1.0;0.932576141327927;1.0;0.0;1.0;0.0;0.0;0.932576141327927;1.0;movie-profile1.xml;movie-profile2.xml
0,010;9;;300rounds;Yes;No;2;0,96713;1,00000;0,00000;0,00000;1,96713;boa-negotiator.boaframework.offeringstrategy.anac2010.Yushu_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_NiceTitForTat-negotiator.boaframework.opponentmodel.AgentXFrequencyModel-negotiator.boaframework.omstrategy.TheFawkes_OMS@18;TimeDependentAgentConceder@19;1.0;0.9671281107910649;1.0;0.9671281107910649;1.0;0.0;0.0;0.0;1.0;0.9671281107910649;movie-profile1.xml;movie-profile2.xml
0,007;6;;300rounds;Yes;No;2;0,93258;1,00000;0,00000;0,07501;1,93258;TimeDependentAgentConceder@20;boa-negotiator.boaframework.offeringstrategy.anac2010.Yushu_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_NiceTitForTat-negotiator.boaframework.opponentmodel.AgentXFrequencyModel-negotiator.boaframework.omstrategy.TheFawkes_OMS@21;0.932576141327927;1.0;0.932576141327927;1.0;0.0;1.0;0.0;0.0;0.932576141327927;1.0;movie-profile1.xml;movie-profile2.xml
