1,1,0.01639344262295082,TitForTatAgent@8,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
1,2,0.01639344262295082,TitForTatAgent@9,(Offer  bid:Bid[Laptop: HP, Harddisk: 120 Gb, External Monitor: 20'' LCD])
2,1,0.03278688524590164,TitForTatAgent@8,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
2,2,0.03278688524590164,TitForTatAgent@9,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 19'' LCD])
3,1,0.04918032786885246,TitForTatAgent@8,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
3,2,0.04918032786885246,TitForTatAgent@9,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 19'' LCD])
4,1,0.06557377049180328,TitForTatAgent@8,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
4,2,0.06557377049180328,TitForTatAgent@9,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
5,1,0.08196721311475409,TitForTatAgent@8,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
5,2,0.08196721311475409,TitForTatAgent@9,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
6,1,0.09836065573770492,TitForTatAgent@8,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
6,2,0.09836065573770492,TitForTatAgent@9,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
7,1,0.11475409836065574,TitForTatAgent@8,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
7,2,0.11475409836065574,TitForTatAgent@9,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
8,1,0.13114754098360656,TitForTatAgent@8,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
8,2,0.13114754098360656,TitForTatAgent@9,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 19'' LCD])
9,1,0.14754098360655737,TitForTatAgent@8,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
9,2,0.14754098360655737,TitForTatAgent@9,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
10,1,0.16393442622950818,TitForTatAgent@8,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
10,2,0.16393442622950818,TitForTatAgent@9,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
11,1,0.18032786885245902,TitForTatAgent@8,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
11,2,0.18032786885245902,TitForTatAgent@9,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 19'' LCD])
12,1,0.19672131147540983,TitForTatAgent@8,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
12,2,0.19672131147540983,TitForTatAgent@9,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
13,1,0.21311475409836064,TitForTatAgent@8,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
13,2,0.21311475409836064,TitForTatAgent@9,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 19'' LCD])
14,1,0.22950819672131148,TitForTatAgent@8,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
14,2,0.22950819672131148,TitForTatAgent@9,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 19'' LCD])
15,1,0.2459016393442623,TitForTatAgent@8,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
15,2,0.2459016393442623,TitForTatAgent@9,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 19'' LCD])
16,1,0.26229508196721313,TitForTatAgent@8,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
16,2,0.26229508196721313,TitForTatAgent@9,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 19'' LCD])
17,1,0.2786885245901639,TitForTatAgent@8,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
17,2,0.2786885245901639,TitForTatAgent@9,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 19'' LCD])
18,1,0.29508196721311475,TitForTatAgent@8,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
18,2,0.29508196721311475,TitForTatAgent@9,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 19'' LCD])
19,1,0.3114754098360656,TitForTatAgent@8,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
19,2,0.3114754098360656,TitForTatAgent@9,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 19'' LCD])
20,1,0.32786885245901637,TitForTatAgent@8,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
20,2,0.32786885245901637,TitForTatAgent@9,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
21,1,0.3442622950819672,TitForTatAgent@8,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
21,2,0.3442622950819672,TitForTatAgent@9,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
22,1,0.36065573770491804,TitForTatAgent@8,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
22,2,0.36065573770491804,TitForTatAgent@9,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
23,1,0.3770491803278688,TitForTatAgent@8,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
23,2,0.3770491803278688,TitForTatAgent@9,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
24,1,0.39344262295081966,TitForTatAgent@8,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
24,2,0.39344262295081966,TitForTatAgent@9,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
25,1,0.4098360655737705,TitForTatAgent@8,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
25,2,0.4098360655737705,TitForTatAgent@9,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 19'' LCD])
26,1,0.4262295081967213,TitForTatAgent@8,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
26,2,0.4262295081967213,TitForTatAgent@9,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 19'' LCD])
27,1,0.4426229508196721,TitForTatAgent@8,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
27,2,0.4426229508196721,TitForTatAgent@9,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 19'' LCD])
