1,1,0.01639344262295082,TitForTatAgentTB@6,(Offer  bid:Bid[Laptop: Dell, Harddisk: 80 Gb, External Monitor: 19'' LCD])
1,2,0.01639344262295082,TitForTatAgentTB@7,(Offer  bid:Bid[Laptop: Dell, Harddisk: 120 Gb, External Monitor: 19'' LCD])
2,1,0.03278688524590164,TitForTatAgentTB@6,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
2,2,0.03278688524590164,TitForTatAgentTB@7,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
3,1,0.04918032786885246,TitForTatAgentTB@6,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
3,2,0.04918032786885246,TitForTatAgentTB@7,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
4,1,0.06557377049180328,TitForTatAgentTB@6,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
4,2,0.06557377049180328,TitForTatAgentTB@7,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
5,1,0.08196721311475409,TitForTatAgentTB@6,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
5,2,0.08196721311475409,TitForTatAgentTB@7,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
6,1,0.09836065573770492,TitForTatAgentTB@6,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
6,2,0.09836065573770492,TitForTatAgentTB@7,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 19'' LCD])
7,1,0.11475409836065574,TitForTatAgentTB@6,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
7,2,0.11475409836065574,TitForTatAgentTB@7,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 19'' LCD])
8,1,0.13114754098360656,TitForTatAgentTB@6,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
8,2,0.13114754098360656,TitForTatAgentTB@7,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
9,1,0.14754098360655737,TitForTatAgentTB@6,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
