1,1,0.01639344262295082,BoulwareNegotiationParty@34,(Offer  bid:Bid[Price: $3.47, Delivery: 20 days, Payment: Upon delivery, Returns: Full price])
1,2,0.01639344262295082,ConcederNegotiationParty@35,(Offer  bid:Bid[Price: $4.37, Delivery: 45 days, Payment: 30 days after delivery, Returns: 5% spoilage allowed])
2,1,0.03278688524590164,BoulwareNegotiationParty@34,(Offer  bid:Bid[Price: $3.47, Delivery: 20 days, Payment: Upon delivery, Returns: Full price])
2,2,0.03278688524590164,ConcederNegotiationParty@35,(Offer  bid:Bid[Price: $4.37, Delivery: 20 days, Payment: 30 days after delivery, Returns: 5% spoilage allowed])
3,1,0.04918032786885246,BoulwareNegotiationParty@34,(Offer  bid:Bid[Price: $3.47, Delivery: 20 days, Payment: Upon delivery, Returns: Full price])
3,2,0.04918032786885246,ConcederNegotiationParty@35,(Offer  bid:Bid[Price: $4.37, Delivery: 60 days, Payment: 30 days after delivery, Returns: 5% spoilage allowed])
4,1,0.06557377049180328,BoulwareNegotiationParty@34,(Offer  bid:Bid[Price: $3.47, Delivery: 20 days, Payment: Upon delivery, Returns: Full price])
4,2,0.06557377049180328,ConcederNegotiationParty@35,(Offer  bid:Bid[Price: $4.37, Delivery: 45 days, Payment: 30 days after delivery, Returns: 10% spoilage allowed])
5,1,0.08196721311475409,BoulwareNegotiationParty@34,(Offer  bid:Bid[Price: $3.47, Delivery: 20 days, Payment: Upon delivery, Returns: Full price])
5,2,0.08196721311475409,ConcederNegotiationParty@35,(Offer  bid:Bid[Price: $4.37, Delivery: 45 days, Payment: 30 days after delivery, Returns: Full price])
6,1,0.09836065573770492,BoulwareNegotiationParty@34,(Offer  bid:Bid[Price: $3.47, Delivery: 20 days, Payment: Upon delivery, Returns: Full price])
6,2,0.09836065573770492,ConcederNegotiationParty@35,(Offer  bid:Bid[Price: $3.98, Delivery: 30 days, Payment: 30 days after delivery, Returns: 5% spoilage allowed])
7,1,0.11475409836065574,BoulwareNegotiationParty@34,(Offer  bid:Bid[Price: $3.47, Delivery: 20 days, Payment: Upon delivery, Returns: Full price])
7,2,0.11475409836065574,ConcederNegotiationParty@35,(Offer  bid:Bid[Price: $4.37, Delivery: 60 days, Payment: Upon delivery, Returns: 5% spoilage allowed])
8,1,0.13114754098360656,BoulwareNegotiationParty@34,(Offer  bid:Bid[Price: $3.47, Delivery: 20 days, Payment: Upon delivery, Returns: Full price])
8,2,0.13114754098360656,ConcederNegotiationParty@35,(Offer  bid:Bid[Price: $3.98, Delivery: 45 days, Payment: Upon delivery, Returns: 5% spoilage allowed])
