1,1,0.01639344262295082,BoulwareNegotiationParty@40,(Offer  bid:Bid[Price: 0-10 cent, Amount: 150-200 kw, Time: 06-12])
1,2,0.01639344262295082,ConcederNegotiationParty@41,(Offer  bid:Bid[Price: 40-50 cent, Amount: 0-50 kw, Time: 12-18])
2,1,0.03278688524590164,BoulwareNegotiationParty@40,(Offer  bid:Bid[Price: 0-10 cent, Amount: 150-200 kw, Time: 06-12])
2,2,0.03278688524590164,ConcederNegotiationParty@41,(Offer  bid:Bid[Price: 30-40 cent, Amount: 0-50 kw, Time: 00-06])
3,1,0.04918032786885246,BoulwareNegotiationParty@40,(Offer  bid:Bid[Price: 0-10 cent, Amount: 150-200 kw, Time: 06-12])
3,2,0.04918032786885246,ConcederNegotiationParty@41,(Offer  bid:Bid[Price: 20-30 cent, Amount: 0-50 kw, Time: 00-06])
4,1,0.06557377049180328,BoulwareNegotiationParty@40,(Offer  bid:Bid[Price: 0-10 cent, Amount: 150-200 kw, Time: 06-12])
4,2,0.06557377049180328,ConcederNegotiationParty@41,(Offer  bid:Bid[Price: 20-30 cent, Amount: 50-100 kw, Time: 18-00])
5,1,0.08196721311475409,BoulwareNegotiationParty@40,(Offer  bid:Bid[Price: 0-10 cent, Amount: 150-200 kw, Time: 06-12])
5,2,0.08196721311475409,ConcederNegotiationParty@41,(Offer  bid:Bid[Price: 30-40 cent, Amount: 50-100 kw, Time: 00-06])
6,1,0.09836065573770492,BoulwareNegotiationParty@40,(Offer  bid:Bid[Price: 0-10 cent, Amount: 150-200 kw, Time: 06-12])
6,2,0.09836065573770492,ConcederNegotiationParty@41,(Offer  bid:Bid[Price: 0-10 cent, Amount: 50-100 kw, Time: 18-00])
7,1,0.11475409836065574,BoulwareNegotiationParty@40,(Offer  bid:Bid[Price: 0-10 cent, Amount: 150-200 kw, Time: 06-12])
7,2,0.11475409836065574,ConcederNegotiationParty@41,(Offer  bid:Bid[Price: 20-30 cent, Amount: 0-50 kw, Time: 06-12])
8,1,0.13114754098360656,BoulwareNegotiationParty@40,(Offer  bid:Bid[Price: 0-10 cent, Amount: 150-200 kw, Time: 06-12])
8,2,0.13114754098360656,ConcederNegotiationParty@41,(Offer  bid:Bid[Price: 20-30 cent, Amount: 50-100 kw, Time: 00-06])
9,1,0.14754098360655737,BoulwareNegotiationParty@40,(Offer  bid:Bid[Price: 0-10 cent, Amount: 150-200 kw, Time: 06-12])
9,2,0.14754098360655737,ConcederNegotiationParty@41,(Offer  bid:Bid[Price: 20-30 cent, Amount: 100-150 kw, Time: 18-00])
10,1,0.16393442622950818,BoulwareNegotiationParty@40,(Offer  bid:Bid[Price: 0-10 cent, Amount: 150-200 kw, Time: 06-12])
10,2,0.16393442622950818,ConcederNegotiationParty@41,(Offer  bid:Bid[Price: 0-10 cent, Amount: 0-50 kw, Time: 06-12])
11,1,0.18032786885245902,BoulwareNegotiationParty@40,(Offer  bid:Bid[Price: 0-10 cent, Amount: 150-200 kw, Time: 06-12])
11,2,0.18032786885245902,ConcederNegotiationParty@41,(Offer  bid:Bid[Price: 0-10 cent, Amount: 50-100 kw, Time: 00-06])
12,1,0.19672131147540983,BoulwareNegotiationParty@40,(Offer  bid:Bid[Price: 0-10 cent, Amount: 150-200 kw, Time: 06-12])
12,2,0.19672131147540983,ConcederNegotiationParty@41,(Offer  bid:Bid[Price: 0-10 cent, Amount: 100-150 kw, Time: 12-18])
13,1,0.21311475409836064,BoulwareNegotiationParty@40,(Offer  bid:Bid[Price: 0-10 cent, Amount: 150-200 kw, Time: 06-12])
13,2,0.21311475409836064,ConcederNegotiationParty@41,(Offer  bid:Bid[Price: 20-30 cent, Amount: 50-100 kw, Time: 06-12])
14,1,0.22950819672131148,BoulwareNegotiationParty@40,(Offer  bid:Bid[Price: 0-10 cent, Amount: 150-200 kw, Time: 06-12])
14,2,0.22950819672131148,ConcederNegotiationParty@41,(Offer  bid:Bid[Price: 10-20 cent, Amount: 50-100 kw, Time: 06-12])
15,1,0.2459016393442623,BoulwareNegotiationParty@40,(Offer  bid:Bid[Price: 0-10 cent, Amount: 150-200 kw, Time: 06-12])
15,2,0.2459016393442623,ConcederNegotiationParty@41,(Offer  bid:Bid[Price: 10-20 cent, Amount: 150-200 kw, Time: 00-06])
16,1,0.26229508196721313,BoulwareNegotiationParty@40,(Offer  bid:Bid[Price: 0-10 cent, Amount: 150-200 kw, Time: 06-12])
16,2,0.26229508196721313,ConcederNegotiationParty@41,(Offer  bid:Bid[Price: 10-20 cent, Amount: 150-200 kw, Time: 00-06])
17,1,0.2786885245901639,BoulwareNegotiationParty@40,(Offer  bid:Bid[Price: 0-10 cent, Amount: 150-200 kw, Time: 06-12])
17,2,0.2786885245901639,ConcederNegotiationParty@41,(Offer  bid:Bid[Price: 40-50 cent, Amount: 100-150 kw, Time: 06-12])
18,1,0.29508196721311475,BoulwareNegotiationParty@40,(Offer  bid:Bid[Price: 0-10 cent, Amount: 150-200 kw, Time: 06-12])
18,2,0.29508196721311475,ConcederNegotiationParty@41,(Offer  bid:Bid[Price: 0-10 cent, Amount: 50-100 kw, Time: 06-12])
19,1,0.3114754098360656,BoulwareNegotiationParty@40,(Offer  bid:Bid[Price: 0-10 cent, Amount: 150-200 kw, Time: 06-12])
