1,1,0.01639344262295082,BoulwareNegotiationParty@44,(Offer  bid:Bid[Price Level: Price 1, ContractDuration: 1 Year, EnergyDelivered: Energy Amount 3])
1,2,0.01639344262295082,ConcederNegotiationParty@45,(Offer  bid:Bid[Price Level: Price 2, ContractDuration: 1 Year, EnergyDelivered: Energy Amount 1])
2,1,0.03278688524590164,BoulwareNegotiationParty@44,(Offer  bid:Bid[Price Level: Price 1, ContractDuration: 1 Year, EnergyDelivered: Energy Amount 3])
2,2,0.03278688524590164,ConcederNegotiationParty@45,(Offer  bid:Bid[Price Level: Price 2, ContractDuration: 6 Months, EnergyDelivered: Energy Amount 1])
3,1,0.04918032786885246,BoulwareNegotiationParty@44,(Offer  bid:Bid[Price Level: Price 1, ContractDuration: 1 Year, EnergyDelivered: Energy Amount 3])
3,2,0.04918032786885246,ConcederNegotiationParty@45,(Offer  bid:Bid[Price Level: Price 2, ContractDuration: 6 Months, EnergyDelivered: Energy Amount 2])
4,1,0.06557377049180328,BoulwareNegotiationParty@44,(Offer  bid:Bid[Price Level: Price 1, ContractDuration: 1 Year, EnergyDelivered: Energy Amount 3])
4,2,0.06557377049180328,ConcederNegotiationParty@45,(Offer  bid:Bid[Price Level: Price 2, ContractDuration: 1 Month, EnergyDelivered: Energy Amount 2])
5,1,0.08196721311475409,BoulwareNegotiationParty@44,(Offer  bid:Bid[Price Level: Price 1, ContractDuration: 1 Year, EnergyDelivered: Energy Amount 3])
5,2,0.08196721311475409,ConcederNegotiationParty@45,(Offer  bid:Bid[Price Level: Price 3, ContractDuration: 1 Year, EnergyDelivered: Energy Amount 3])
6,1,0.09836065573770492,BoulwareNegotiationParty@44,(Offer  bid:Bid[Price Level: Price 1, ContractDuration: 1 Year, EnergyDelivered: Energy Amount 3])
6,2,0.09836065573770492,ConcederNegotiationParty@45,(Offer  bid:Bid[Price Level: Price 3, ContractDuration: 2 Years, EnergyDelivered: Energy Amount 2])
7,1,0.11475409836065574,BoulwareNegotiationParty@44,(Offer  bid:Bid[Price Level: Price 1, ContractDuration: 1 Year, EnergyDelivered: Energy Amount 3])
7,2,0.11475409836065574,ConcederNegotiationParty@45,(Offer  bid:Bid[Price Level: Price 2, ContractDuration: 5 Years, EnergyDelivered: Energy Amount 3])
8,1,0.13114754098360656,BoulwareNegotiationParty@44,(Offer  bid:Bid[Price Level: Price 1, ContractDuration: 1 Year, EnergyDelivered: Energy Amount 3])
8,2,0.13114754098360656,ConcederNegotiationParty@45,(Accept  bid:Bid[Price Level: Price 1, ContractDuration: 1 Year, EnergyDelivered: Energy Amount 3])
agreement,Bid[Price Level: Price 1, ContractDuration: 1 Year, EnergyDelivered: Energy Amount 3],1.0,0.6673344671899702
