1,1,0.01639344262295082,BoulwareNegotiationParty@46,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d4])
1,2,0.01639344262295082,ConcederNegotiationParty@47,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
2,1,0.03278688524590164,BoulwareNegotiationParty@46,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d4])
2,2,0.03278688524590164,ConcederNegotiationParty@47,(Offer  bid:Bid[a: a2, b: b1, c: c2, d: d4])
3,1,0.04918032786885246,BoulwareNegotiationParty@46,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d4])
3,2,0.04918032786885246,ConcederNegotiationParty@47,(Offer  bid:Bid[a: a2, b: b3, c: c3, d: d3])
4,1,0.06557377049180328,BoulwareNegotiationParty@46,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d4])
4,2,0.06557377049180328,ConcederNegotiationParty@47,(Offer  bid:Bid[a: a2, b: b4, c: c3, d: d2])
5,1,0.08196721311475409,BoulwareNegotiationParty@46,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d4])
5,2,0.08196721311475409,ConcederNegotiationParty@47,(Offer  bid:Bid[a: a4, b: b3, c: c2, d: d3])
6,1,0.09836065573770492,BoulwareNegotiationParty@46,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d4])
6,2,0.09836065573770492,ConcederNegotiationParty@47,(Offer  bid:Bid[a: a4, b: b4, c: c2, d: d2])
7,1,0.11475409836065574,BoulwareNegotiationParty@46,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d4])
7,2,0.11475409836065574,ConcederNegotiationParty@47,(Offer  bid:Bid[a: a4, b: b4, c: c2, d: d3])
8,1,0.13114754098360656,BoulwareNegotiationParty@46,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d4])
8,2,0.13114754098360656,ConcederNegotiationParty@47,(Offer  bid:Bid[a: a4, b: b4, c: c2, d: d1])
9,1,0.14754098360655737,BoulwareNegotiationParty@46,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d4])
9,2,0.14754098360655737,ConcederNegotiationParty@47,(Offer  bid:Bid[a: a2, b: b3, c: c4, d: d3])
10,1,0.16393442622950818,BoulwareNegotiationParty@46,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d4])
10,2,0.16393442622950818,ConcederNegotiationParty@47,(Offer  bid:Bid[a: a2, b: b3, c: c1, d: d1])
11,1,0.18032786885245902,BoulwareNegotiationParty@46,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d4])
11,2,0.18032786885245902,ConcederNegotiationParty@47,(Offer  bid:Bid[a: a1, b: b1, c: c2, d: d3])
12,1,0.19672131147540983,BoulwareNegotiationParty@46,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d4])
12,2,0.19672131147540983,ConcederNegotiationParty@47,(Offer  bid:Bid[a: a4, b: b3, c: c3, d: d3])
13,1,0.21311475409836064,BoulwareNegotiationParty@46,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d4])
13,2,0.21311475409836064,ConcederNegotiationParty@47,(Offer  bid:Bid[a: a2, b: b4, c: c4, d: d4])
14,1,0.22950819672131148,BoulwareNegotiationParty@46,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d4])
14,2,0.22950819672131148,ConcederNegotiationParty@47,(Offer  bid:Bid[a: a2, b: b1, c: c1, d: d1])
15,1,0.2459016393442623,BoulwareNegotiationParty@46,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d4])
15,2,0.2459016393442623,ConcederNegotiationParty@47,(Offer  bid:Bid[a: a4, b: b4, c: c3, d: d3])
16,1,0.26229508196721313,BoulwareNegotiationParty@46,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d4])
16,2,0.26229508196721313,ConcederNegotiationParty@47,(Offer  bid:Bid[a: a1, b: b3, c: c3, d: d3])
17,1,0.2786885245901639,BoulwareNegotiationParty@46,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d4])
17,2,0.2786885245901639,ConcederNegotiationParty@47,(Offer  bid:Bid[a: a1, b: b2, c: c3, d: d2])
18,1,0.29508196721311475,BoulwareNegotiationParty@46,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d4])
18,2,0.29508196721311475,ConcederNegotiationParty@47,(Offer  bid:Bid[a: a4, b: b1, c: c3, d: d4])
19,1,0.3114754098360656,BoulwareNegotiationParty@46,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d4])
