sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Agent 3;Agent 4;Utility 1;Utility 2;Utility 3;Utility 4;Disc. Util. 1;Disc. Util. 2;Disc. Util. 3;Disc. Util. 4;Perceived. Util. 1;Perceived. Util. 2;Perceived. Util. 3;Perceived. Util. 4;User Bother 1;User Bother 2;User Bother 3;User Bother 4;User Util. 1;User Util. 2;User Util. 3;User Util. 4;Profile 1;Profile 2;Profile 3;Profile 4
0,178;61;;60rounds;No;No;1;0,00000;0,00000;1,36280;1,58071;0,00000;TitForTatAgentTB@74;TitForTatAgentTB@75;TitForTatAgentTB@76;TitForTatAgentTB@77;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
;5;Session genius.core.session.Session@625c57b4 failed: Failed to execute protocol: null:[agents.TimeDependentAgentBoulware, C:\Users\DANIEL\Desktop\Universidad\Master\NARC\negociacion\out\production\negociacion\TitForTatAgentTB.class, C:\Users\DANIEL\Desktop\Universidad\Master\NARC\negociacion\out\production\negociacion\TitForTatAgentTB.class, C:\Users\DANIEL\Desktop\Universidad\Master\NARC\negociacion\out\production\negociacion\TitForTatAgentTB.class];60rounds;No;;0;;;;;;TimeDependentAgentBoulware;TitForTatAgentTB;TitForTatAgentTB;TitForTatAgentTB;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;party1_utility;party2_utility;party3_utility;party4_utility
;5;Session genius.core.session.Session@2bd69526 failed: Failed to execute protocol: null:[agents.TimeDependentAgentConceder, C:\Users\DANIEL\Desktop\Universidad\Master\NARC\negociacion\out\production\negociacion\TitForTatAgentTB.class, C:\Users\DANIEL\Desktop\Universidad\Master\NARC\negociacion\out\production\negociacion\TitForTatAgentTB.class, C:\Users\DANIEL\Desktop\Universidad\Master\NARC\negociacion\out\production\negociacion\TitForTatAgentTB.class];60rounds;No;;0;;;;;;TimeDependentAgentConceder;TitForTatAgentTB;TitForTatAgentTB;TitForTatAgentTB;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;party1_utility;party2_utility;party3_utility;party4_utility
0,172;61;;60rounds;No;No;1;0,00000;0,00000;1,36280;1,58071;0,00000;RandomCounterOfferNegotiationParty@86;TitForTatAgentTB@87;TitForTatAgentTB@88;TitForTatAgentTB@89;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
;13;Session genius.core.session.Session@4f96a650 failed: Failed to execute protocol: null:[C:\Users\DANIEL\Desktop\Universidad\Master\NARC\negociacion\out\production\negociacion\TitForTatAgentTB.class, agents.TimeDependentAgentBoulware, C:\Users\DANIEL\Desktop\Universidad\Master\NARC\negociacion\out\production\negociacion\TitForTatAgentTB.class, C:\Users\DANIEL\Desktop\Universidad\Master\NARC\negociacion\out\production\negociacion\TitForTatAgentTB.class];60rounds;No;;0;;;;;;TitForTatAgentTB;TimeDependentAgentBoulware;TitForTatAgentTB;TitForTatAgentTB;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;party1_utility;party2_utility;party3_utility;party4_utility
;41;Session genius.core.session.Session@60adc8cf failed: Failed to execute protocol: null:[agents.TimeDependentAgentBoulware, agents.TimeDependentAgentBoulware, C:\Users\DANIEL\Desktop\Universidad\Master\NARC\negociacion\out\production\negociacion\TitForTatAgentTB.class, C:\Users\DANIEL\Desktop\Universidad\Master\NARC\negociacion\out\production\negociacion\TitForTatAgentTB.class];60rounds;No;;0;;;;;;TimeDependentAgentBoulware;TimeDependentAgentBoulware;TitForTatAgentTB;TitForTatAgentTB;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;party1_utility;party2_utility;party3_utility;party4_utility
;4;Session genius.core.session.Session@7d159bf5 failed: Failed to execute protocol: null:[agents.TimeDependentAgentConceder, agents.TimeDependentAgentBoulware, C:\Users\DANIEL\Desktop\Universidad\Master\NARC\negociacion\out\production\negociacion\TitForTatAgentTB.class, C:\Users\DANIEL\Desktop\Universidad\Master\NARC\negociacion\out\production\negociacion\TitForTatAgentTB.class];60rounds;No;;0;;;;;;TimeDependentAgentConceder;TimeDependentAgentBoulware;TitForTatAgentTB;TitForTatAgentTB;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;party1_utility;party2_utility;party3_utility;party4_utility
;56;Session genius.core.session.Session@43e50813 failed: Failed to execute protocol: null:[negotiator.parties.RandomCounterOfferNegotiationParty, agents.TimeDependentAgentBoulware, C:\Users\DANIEL\Desktop\Universidad\Master\NARC\negociacion\out\production\negociacion\TitForTatAgentTB.class, C:\Users\DANIEL\Desktop\Universidad\Master\NARC\negociacion\out\production\negociacion\TitForTatAgentTB.class];60rounds;No;;0;;;;;;RandomCounterOfferNegotiationParty;TimeDependentAgentBoulware;TitForTatAgentTB;TitForTatAgentTB;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;party1_utility;party2_utility;party3_utility;party4_utility
;27;Session genius.core.session.Session@7a2a918c failed: Failed to execute protocol: null:[C:\Users\DANIEL\Desktop\Universidad\Master\NARC\negociacion\out\production\negociacion\TitForTatAgentTB.class, agents.TimeDependentAgentConceder, C:\Users\DANIEL\Desktop\Universidad\Master\NARC\negociacion\out\production\negociacion\TitForTatAgentTB.class, C:\Users\DANIEL\Desktop\Universidad\Master\NARC\negociacion\out\production\negociacion\TitForTatAgentTB.class];60rounds;No;;0;;;;;;TitForTatAgentTB;TimeDependentAgentConceder;TitForTatAgentTB;TitForTatAgentTB;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;party1_utility;party2_utility;party3_utility;party4_utility
;8;Session genius.core.session.Session@5fdee3ed failed: Failed to execute protocol: null:[agents.TimeDependentAgentBoulware, agents.TimeDependentAgentConceder, C:\Users\DANIEL\Desktop\Universidad\Master\NARC\negociacion\out\production\negociacion\TitForTatAgentTB.class, C:\Users\DANIEL\Desktop\Universidad\Master\NARC\negociacion\out\production\negociacion\TitForTatAgentTB.class];60rounds;No;;0;;;;;;TimeDependentAgentBoulware;TimeDependentAgentConceder;TitForTatAgentTB;TitForTatAgentTB;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;party1_utility;party2_utility;party3_utility;party4_utility
