sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
0,120;155;;300rounds;Yes;No;2;0,96713;1,00000;0,00000;0,00000;1,96713;BoulwareNegotiationParty@146;BoulwareNegotiationParty@147;1.0;0.9671281107910649;1.0;0.9671281107910649;1.0;0.9671281107910649;0.0;0.0;1.0;0.9671281107910649;movie-profile1.xml;movie-profile2.xml
0,006;8;;300rounds;Yes;No;2;0,93258;1,00000;0,00000;0,07501;1,93258;ConcederNegotiationParty@148;BoulwareNegotiationParty@149;0.932576141327927;1.0;0.932576141327927;1.0;0.932576141327927;1.0;0.0;0.0;0.932576141327927;1.0;movie-profile1.xml;movie-profile2.xml
0,002;3;;300rounds;Yes;No;2;0,93258;1,00000;0,00000;0,07501;1,93258;BayesianAgent@150;BoulwareNegotiationParty@151;0.932576141327927;1.0;0.932576141327927;1.0;0.0;1.0;0.0;0.0;0.932576141327927;1.0;movie-profile1.xml;movie-profile2.xml
0,104;136;;300rounds;Yes;No;2;0,96713;1,00000;0,00000;0,00000;1,96713;boa-negotiator.boaframework.offeringstrategy.anac2010.Yushu_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_NiceTitForTat-negotiator.boaframework.opponentmodel.AgentXFrequencyModel-negotiator.boaframework.omstrategy.TheFawkes_OMS@152;BoulwareNegotiationParty@153;1.0;0.9671281107910649;1.0;0.9671281107910649;1.0;0.9671281107910649;0.0;0.0;1.0;0.9671281107910649;movie-profile1.xml;movie-profile2.xml
0,105;141;;300rounds;Yes;No;2;0,96713;1,00000;0,00000;0,00000;1,96713;boa-negotiator.boaframework.offeringstrategy.anac2010.AgentK_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-C..Users.DANIEL.Desktop.Universidad.Master.NARC.negociacion.out.production.negociacion.es.upv.opponentmodel.SimpleFrequencyModel-negotiator.boaframework.omstrategy.NTFTstrategy@154;BoulwareNegotiationParty@155;1.0;0.9671281107910649;1.0;0.9671281107910649;1.0;0.9671281107910649;0.0;0.0;1.0;0.9671281107910649;movie-profile1.xml;movie-profile2.xml
0,002;3;;300rounds;Yes;No;2;0,96713;1,00000;0,00000;0,00000;1,96713;BoulwareNegotiationParty@156;ConcederNegotiationParty@157;1.0;0.9671281107910649;1.0;0.9671281107910649;1.0;0.9671281107910649;0.0;0.0;1.0;0.9671281107910649;movie-profile1.xml;movie-profile2.xml
0,002;3;;300rounds;Yes;No;2;0,93258;1,00000;0,00000;0,07501;1,93258;ConcederNegotiationParty@158;ConcederNegotiationParty@159;0.932576141327927;1.0;0.932576141327927;1.0;0.932576141327927;1.0;0.0;0.0;0.932576141327927;1.0;movie-profile1.xml;movie-profile2.xml
0,002;3;;300rounds;Yes;No;2;0,93258;1,00000;0,00000;0,07501;1,93258;BayesianAgent@160;ConcederNegotiationParty@161;0.932576141327927;1.0;0.932576141327927;1.0;0.0;1.0;0.0;0.0;0.932576141327927;1.0;movie-profile1.xml;movie-profile2.xml
0,002;3;;300rounds;Yes;No;2;0,96713;1,00000;0,00000;0,00000;1,96713;boa-negotiator.boaframework.offeringstrategy.anac2010.Yushu_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_NiceTitForTat-negotiator.boaframework.opponentmodel.AgentXFrequencyModel-negotiator.boaframework.omstrategy.TheFawkes_OMS@162;ConcederNegotiationParty@163;1.0;0.9671281107910649;1.0;0.9671281107910649;1.0;0.9671281107910649;0.0;0.0;1.0;0.9671281107910649;movie-profile1.xml;movie-profile2.xml
0,003;3;;300rounds;Yes;No;2;0,96713;1,00000;0,00000;0,00000;1,96713;boa-negotiator.boaframework.offeringstrategy.anac2010.AgentK_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-C..Users.DANIEL.Desktop.Universidad.Master.NARC.negociacion.out.production.negociacion.es.upv.opponentmodel.SimpleFrequencyModel-negotiator.boaframework.omstrategy.NTFTstrategy@164;ConcederNegotiationParty@165;1.0;0.9671281107910649;1.0;0.9671281107910649;1.0;0.9671281107910649;0.0;0.0;1.0;0.9671281107910649;movie-profile1.xml;movie-profile2.xml
0,002;3;;300rounds;Yes;No;2;0,96713;1,00000;0,00000;0,00000;1,96713;BoulwareNegotiationParty@166;BayesianAgent@167;1.0;0.9671281107910649;1.0;0.9671281107910649;1.0;0.0;0.0;0.0;1.0;0.9671281107910649;movie-profile1.xml;movie-profile2.xml
0,002;3;;300rounds;Yes;No;2;0,93258;1,00000;0,00000;0,07501;1,93258;ConcederNegotiationParty@168;BayesianAgent@169;0.932576141327927;1.0;0.932576141327927;1.0;0.932576141327927;0.0;0.0;0.0;0.932576141327927;1.0;movie-profile1.xml;movie-profile2.xml
0,002;3;;300rounds;Yes;No;2;0,93258;1,00000;0,00000;0,07501;1,93258;BayesianAgent@170;BayesianAgent@171;0.932576141327927;1.0;0.932576141327927;1.0;0.0;0.0;0.0;0.0;0.932576141327927;1.0;movie-profile1.xml;movie-profile2.xml
